rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,source_name,source_date
204,Seychelles,853,182,987,-1,2,190,51,58,81,26,131,33,144,425,World Football Elo Ratings PDF,2026-06-21
205,Sri Lanka,836,161,933,5,54,285,70,89,126,58,177,50,278,693,World Football Elo Ratings PDF,2026-06-21
206,San Marino,825,195,917,-2,-20,228,110,110,8,3,213,12,44,895,World Football Elo Ratings PDF,2026-06-21
207,Taiwan,822,144,1169,-5,-59,339,96,109,134,96,191,52,465,788,World Football Elo Ratings PDF,2026-06-21
208,Bonaire,817,150,1036,-2,-19,104,19,52,33,24,68,12,116,257,World Football Elo Ratings PDF,2026-06-21
209,Maldives,801,191,885,-4,-41,241,65,82,94,67,135,39,289,538,World Football Elo Ratings PDF,2026-06-21
210,Cayman Islands,800,183,1000,-2,-20,129,60,39,30,26,78,25,125,313,World Football Elo Ratings PDF,2026-06-21
211,Chagos Islands,782,211,783,-1,0,4,0,0,4,1,2,1,8,10,World Football Elo Ratings PDF,2026-06-21
212,Tuvalu,756,204,745,1,0,34,0,4,30,9,21,4,47,182,World Football Elo Ratings PDF,2026-06-21
213,British Virgin Islands,743,207,788,15,116,139,35,63,41,24,91,24,129,402,World Football Elo Ratings PDF,2026-06-21
214,Sint Eustatius,737,213,753,0,0,11,3,8,0,5,2,4,33,30,World Football Elo Ratings PDF,2026-06-21
215,East Timor,734,226,630,8,45,92,5,47,40,13,72,7,86,285,World Football Elo Ratings PDF,2026-06-21
215,Laos,734,186,895,3,18,235,49,69,117,43,157,35,235,739,World Football Elo Ratings PDF,2026-06-21
217,Samoa,728,211,659,-1,0,77,28,15,34,23,50,4,109,279,World Football Elo Ratings PDF,2026-06-21
218,Mongolia,726,190,842,-3,-4,102,22,39,41,21,70,11,100,288,World Football Elo Ratings PDF,2026-06-21
219,Saint Barthelemy,725,217,706,-2,0,10,7,3,0,4,5,1,25,29,World Football Elo Ratings PDF,2026-06-21
220,Guam,706,207,694,-1,-8,132,25,44,63,31,88,13,169,592,World Football Elo Ratings PDF,2026-06-21
221,Wallis and Futuna,699,201,699,-1,0,24,0,5,19,5,19,0,23,109,World Football Elo Ratings PDF,2026-06-21
